url,product_name,barcode,brand,quantity,serving_size,nutriscore_letter,nova_group,ingredients_text,allergens,traces,energy_kj_100g,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,main_image_url,categories,contains_palm_oil,vegetarian_status,vegan_status,fruits_vegetables_nuts_percent,nutrient_level_fat,nutrient_level_saturated_fat,nutrient_level_sugars,nutrient_level_salt,additives,packaging,stores,countries,origins,manufacturing_places,ecoscore_grade,ecoscore_score,carbon_footprint_100g
https://world.openfoodfacts.org/product/8009318300675/mais-per-pop-corn-la-casetta-di-campagna,Mais per Pop Corn – La Casetta di Campagna – 400 g,8009320000000.0,La Casetta di Campagna,400 g,,A,,Italian: Mais,,Gluten,1.36,325.0,2.5,0.3,54.0,2.4,13.7,25.0,0.02,https://images.openfoodfacts.org/images/products/800/931/830/0675/front_it.3.200.jpg,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Seeds, Cereals and their products, Cereal grains, Corn, Popcorn",,yes,yes,low,low,low,low,[],,,Italy,Argentina,,A,75.0,91.0,
https://world.openfoodfacts.org/product/0041220017751/raw-almonds-h-e-b-organics,Raw almonds – H-E-B Organics – 8 oz,41220017751.0,H-E-B Organics,8 oz,,A,,,,,2.371,566.0,50.0,3.333,20.0,3.333,13.333,20.0,0.0,https://images.openfoodfacts.org/images/products/004/122/001/7751/front_en.3.200.jpg,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,,,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/4066447256581/linsenwaffeln-gesalzen-dmbio,Linsenwaffeln gesalzen – DmBio – 100g,4066450000000.0,DmBio,100g,,A,3.0,"German: 99,5% Linsenmehl*, 0,5 % Meersalz. aus biologischer Landwirtschaft Kann Spuren von Soja und Sesam enthalten.",,"Sesame seeds, Soybeans",1.523,364.0,1.7,0.4,54.0,1.6,7.6,29.0,0.5,https://images.openfoodfacts.org/images/products/406/644/725/6581/front_en.16.200.jpg,"Snacks, Salty snacks",,yes,yes,low,low,low,moderate,[],,DM,Germany,,,,,,
https://world.openfoodfacts.org/product/0076811342127/whole-almonds-diamond-of-california,Whole Almonds – Diamond of california – 10 oz,76811342127.0,Diamond of california,10 oz,1/4 cup (30 g) (30 GRM),A,,Almonds,Nuts,,2.37,567.0,50.0,3.33,20.0,3.33,13.3,20.0,0.0,https://images.openfoodfacts.org/images/products/007/681/134/2127/front_en.3.200.jpg,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds, Shelled nuts, Shelled almonds, Whole almonds",,yes,yes,high,moderate,low,low,[],,,"United States , World",,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0030684009013/whole-raw-almonds-tree-of-life-inc,Whole Raw Almonds – Tree Of Life  Inc.,30684009013.0,Tree Of Life  Inc.,,1 ONZ (28 g),A,,Organic whole raw almonds,Nuts,,2.69,643.0,53.57,3.57,17.86,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds, Whole almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0064777812266/roasted-salted-almonds-johnvince-foods,Roasted salted almonds – Johnvince Foods,64777812266.0,Johnvince Foods,,0.125 cup (30 g),A,3.0,Almonds . soybean and/or peanut oil. sea salt.,"Nuts, Peanuts, Soybeans",,2.791,667.0,53.33,5.0,20.0,3.33,13.3,20.0,0.375,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds, Salted almonds, Roasted-salted-almonds",,yes,yes,high,moderate,low,moderate,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0070552202085/natural-whole-almonds-winco-foods,Natural whole almonds – Winco Foods,70552202085.0,"Winco Foods , Winco Foods  Inc.",,1 ONZ (28 g),A,,Almonds .,Nuts,,2.389,571.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0070625800279/almonds-green-way,Almonds – Green Way,70625800279.0,"Green Way , Kohl Corporation",,0.25 cup (28 g),A,,Organic almonds (not roasted).,Nuts,,2.54,607.0,53.57,3.57,17.86,3.57,14.3,25.0,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,unknown,unknown,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0070625800286/almonds-green-way,Almonds – Green Way,70625800286.0,"Green Way , Kohl Corporation",,0.25 cup (28 g),A,3.0,Organic almonds (roasted in organic high oleic sunflower oil).,Nuts,,2.69,643.0,57.14,3.57,17.86,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
https://world.openfoodfacts.org/product/0070690014526/whole-almonds-fisher,Whole Almonds – Fisher,70690014526.0,Fisher,,1 ONZ (28 g),A,,Almonds .,Nuts,,2.389,571.0,50.0,3.57,21.43,3.57,10.7,21.43,0.0,https://static.openfoodfacts.org/images/logos/off-logo-vertical-white-social-media-preview.png,"Plant-based foods and beverages, Plant-based foods, Snacks, Nuts and their products, Nuts, Almonds",,yes,yes,high,moderate,low,low,[],,,United States,,,E,19.0,269.0,
