url,product_name,barcode,brand,quantity,serving_size,nutriscore_letter,nova_group,ingredients_text,allergens,traces,energy_kj_100g,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,main_image_url,categories,contains_palm_oil,vegetarian_status,vegan_status,fruits_vegetables_nuts_percent,nutrient_level_fat,nutrient_level_saturated_fat,nutrient_level_sugars,nutrient_level_salt,additives,packaging,stores,countries,origins,manufacturing_places,ecoscore_grade,ecoscore_score,carbon_footprint_100g
https://world.openfoodfacts.org/product/6111242100992/perly,perly – 100 g,6.11124E+12,perly,100 g,100g,,,"جبن طري بالسكر Fromage frais sucré القيمة الغذائية ل 100غ Valeurs nutritionnelles pour 100g القيمة الحرارية ككال 97 Valeurs énergiftiques Kad | Protéines Carbohydrates 9.94 Lipides 9 3,0 è Calcium mg 250 gla البروتينات غ 8.0 9 الكاربوهيدرات الدهنيات الكالسيوم",Milk,,406,97,3,,9.4,,,8,,https://images.openfoodfacts.org/images/products/611/124/210/0992/front_fr.131.200.jpg,"Dairies, Fermented foods, Fermented milk products, Snacks, Desserts, Dairy desserts, Fermented dairy desserts, Plain fermented dairy desserts, Plain fermented dairy desserts with cream",,unknown,unknown,,moderate,,,,[],Plastic,,"Morocco , United States",Morocco,Maroc,,,
https://world.openfoodfacts.org/product/7622210449283/prince-gout-chocolat-lu,Prince Gout Chocolat – LU – 300 g,7.62221E+12,LU,300 g,20g,E,4,"WHEAT flour 35%, whole WHEAT flour 15.7%, sugar, vegetable oils (palm, rapeseed), low-fat cocoa powder 4.5%, glucose syrup, WHEAT starch, raising agents (ammonium bicarbonate, sodium bicarbonate, disodium diphosphate), emulsifiers ( SOY lecithin, sunflower lecithin), salt, skimmed MILK powder, lactose and MILK proteins, flavors, MAY CONTAIN EGG .","Eggs, Gluten, Milk, Soybeans",Eggs,1.96,465,17.5,5.5,70,31.5,4,6.5,0.5,https://images.openfoodfacts.org/images/products/762/221/044/9283/front_en.605.200.jpg,"Snacks, Breakfasts, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Filled biscuits, Sandwich biscuits",TRUE,,,,moderate,high,high,moderate,"['E322 - Lecithins', 'E322i - Lecithin', 'E500 - Sodium carbonates', 'E503 - Ammonium carbonates']","Packet , Etui en carton , Film en plastique , Hdpe film-packet","Carrefour Market , Magasins U , Auchan , Intermarché , Carrefour , Casino , Cora , Bi1 , carrefour.fr , Netto , Bannete , E.Leclerc","Algeria , Belgium , France , French Polynesia , Germany , Guadeloupe , Hungary , Luxembourg , Martinique , Morocco , New Caledonia , Réunion , Spain , Switzerland , United States",,,,,
https://world.openfoodfacts.org/product/3046920029759/90-lindt,90% – Lindt – 100 g,3.04692E+12,Lindt,100 g,1 square (10 g),E,3,"cocoa mass, cocoa butter, fat reduced cocoa, sugar, vanilla",,"Milk, Nuts, Soybeans",2.477,592,55,30,14,0,0,10,0.03,https://images.openfoodfacts.org/images/products/304/692/002/9759/front_en.492.200.jpg,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, Dark chocolate bar, Extra fine dark chocolates",,,,,high,high,moderate,low,[],"Aluminium wrap , Box cardboard , Caja de cartón , Card-box , Foil-wrapper , es:Recipiente , fr:Feuille aluminium , fr:Étui carton , pt:Papel de aluminio","Carrefour , Géant , Kupsch , Magasins U , Esselunga , Lindt , carrefour.fr , COOP , El Corte Inglés , Consum , Meny , Walmart","Algeria , Austria , Belgium , Bulgaria , Canada , Czech Republic , Finland , France , French Polynesia , Germany , Ireland , Italy , Mauritius , Morocco , Netherlands , Norway , Réunion , Romania , Singapore , Spain , Sweden , Switzerland , Tunisia , United Kingdom",,Aachen,,,
https://world.openfoodfacts.org/product/6111031005064/tonik-bimo,tonik – bimo – 22 g,6.11103E+12,bimo,22 g,23g,E,2,"French: Coffret fourré au cacao (41,6%) et à la vanille (208) - Ingrédients Farine de blé, sucre, huile végétale non hydrogénée (huile de palme), filtrat de lait, poudre de cacao Émulsifiant à faible teneur en cacao (322) Lécithine de soja ) Agent levant (5000) Sucre artificiel (vanilline) Sel Contient du lait , du blé ( gluten ) du soja","Gluten, Milk, Soybeans",,2.12,504,22.2,10.9,71.7,40,0.435,4.35,0.217,https://images.openfoodfacts.org/images/products/611/103/100/5064/front_fr.56.200.jpg,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Cereals and their products, Cocoa and its products, Confectioneries, Flours, Biscuits, Cereal flours, Chocolate candies, Sweeteners, Wheat flours, Sugars, fr:Gaufrettes-fourrees-au-cacao",TRUE,unknown,,,high,high,high,low,[],,,Morocco,Morocco,,,,
https://world.openfoodfacts.org/product/3175680011480/gerble-sesame-cookie-230g-8-2oz,"Gerblé - Sesame Cookie, 230g (8.2oz) – 230g",3.17568E+12,Gerblé,230g,11.5g,C,4,"Wheat flour , brown cane sugar, rapeseed oil, toasted sesame 10.6%, wheat germ 5.4%, whole wheat flour 5.4%, natural flavor, magnesium, emulsifier: lecithins, raising agents (potassium tartrates, sodium carbonates, ammonium carbonates), sea salt, wheat starch, vitamins (E, PP, B6, B1, B9).","Gluten, Sesame seeds","Eggs, Lupin, Milk, Mustard, Nuts, Soybeans",1.961,467,18,2,64,17,4.6,10,0.38,https://images.openfoodfacts.org/images/products/317/568/001/1480/front_en.221.200.jpg,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits",,unknown,unknown,,moderate,moderate,high,moderate,"['E322 - Lecithins', 'E336 - Potassium tartrates', 'E500 - Sodium carbonates', 'E503 - Ammonium carbonates']","Plastic , Cardboard","E.Leclerc , Carrefour , Auchan , Monoprix , carrefour.fr , Lidl , Intermarché","Belgium , Bulgaria , France , Switzerland","France , European Union , Non European Union",France,,,
https://world.openfoodfacts.org/product/20995553/dark-chocolate-85-cocoa-j-d-gross,Dark Chocolate 85% Cocoa – J.D. Gross – 125g,20995553,J.D. Gross,125g,25 g,D,4,"Cocoa mass, fat reduced cocoa powder, cocoa butter, sugar, emulsifier: soya lecithins, vanilla extract.
Dark chocolate containts: Cocoa solids 85% minimum.",Soybeans,"Milk, Nuts",2.51,600,48,28,36,12,16,12,0,https://images.openfoodfacts.org/images/products/000/002/099/5553/front_en.314.200.jpg,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates",,,,,high,high,moderate,low,"['E322 - Lecithins', 'E322i - Lecithin']","Cardboard , Non-corrugated cardboard",Lidl,"Austria , Belgium , Bulgaria , Estonia , Finland , France , Germany , Italy , Lithuania , Slovakia , Slovenia , Spain , United Kingdom",,,,,
https://world.openfoodfacts.org/product/3268840001008/hhhhh-cristaline,Hhhhh – Cristaline – 500 ml,3.26884E+12,Cristaline,500 ml,1 L,A,,Hhhhh,,,0,0,0,0,0,,,,0.005,https://images.openfoodfacts.org/images/products/326/884/000/1008/front_fr.422.200.jpg,"Beverages and beverages preparations, Beverages, Snacks, Waters, Spring waters",,,,,low,low,,low,[],"Plastic , Bottle or vial , PET 1 - Polyethylene terephthalate , Bottle , fr:Bouchon en plastique","Sogeres , Holyday Inn Toulon","Belgium , Côte d'Ivoire , France , Germany , Luxembourg , Mali , Martinique , Russia , Switzerland , United Kingdom","France , Provence-Alpes-Côte d'Azur , Italy , Vaucluse , Cairanne , Chambon-la-Forêt , Source Emma , Source Ofélia , Source Sainte Cécile , Source Éléna , Source Éléonore","France , Italie",,,
https://world.openfoodfacts.org/product/3362600011044/henry-s,Henry’s – 42g,3.3626E+12,Henry's,42g,42 g,E,4,"French: Farine de froment , sucre, graisse végétale, sucre inverti, agents levants ( bicarbonate d'ammonium - bicarbonate de sodium), sel, arome.",Gluten,"Milk, Soybeans",1.841,440,10.824,5.294,76.471,24.235,2.353,7.647,0.882,https://images.openfoodfacts.org/images/products/336/260/001/1044/front_fr.43.200.jpg,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits",,unknown,unknown,,moderate,high,high,moderate,"['E500 - Sodium carbonates', 'E500ii - Sodium hydrogen carbonate', 'E503 - Ammonium carbonates', 'E503ii - Ammonium hydrogen carbonate']",Plastic,,Morocco,,,,,
https://world.openfoodfacts.org/product/8425197712024/compound-chocolate-with-milk-and-almonds-maruja,Compound Chocolate with MILK AND ALMONDS – Maruja – 150 g,8.4252E+12,Maruja,150 g,,E,4,"sugar, cocoa butter, whole milk powder, cocoa mass, almonds , emulsifier ( soya lecithin ), flavoring","Milk, Nuts, Soybeans",,2.255,539,33,25,53,50,,7.2,0.275,https://images.openfoodfacts.org/images/products/842/519/771/2024/front_en.60.200.jpg,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolates, Compound chocolates, Food",,,,,high,high,high,low,"['E322 - Lecithins', 'E322i - Lecithin']","Metal , Paper , Recyclable Metals , Aluminium",,"Algeria , Cameroon , France , Morocco , Spain",,Espagne,,,
https://world.openfoodfacts.org/product/7622210578464/organic-70-dark-chocolate-bar-green-black-s,Organic 70% Dark Chocolate Bar – Green & Black's – 90g,7.62221E+12,Green & Black's,90g,1 portion (100 g),E,3,"cocoa mass #, cane sugar #, cocoa butter #, vanilla extract #, may contain nuts , milk",,"Milk, Nuts",2.428,580,42,25,36,29,10,9.1,0.01,https://images.openfoodfacts.org/images/products/762/221/057/8464/front_en.29.200.jpg,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, Dark chocolate bar with more than 70% cocoa",,,,,high,high,high,low,[],Paper/Foil,,"France , Ireland , Sweden , United Kingdom",,,,,
https://world.openfoodfacts.org/product/6111259343108/king-cookies-excelo,KING COOKIES – Excelo,6.11126E+12,Excelo,,,E,,French: دقيقالقمح،رقائق الشوكولاته20%[عجينة زيت النخلة.الكاكاو،سكر،دكستروز و مستحلب,,,2.021,483,24,12,61.5,32,,5.2,0.27,https://images.openfoodfacts.org/images/products/611/125/934/3108/front_fr.25.200.jpg,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Drop cookies",,unknown,unknown,,high,high,high,low,[],,,Morocco,,,,,
https://world.openfoodfacts.org/product/3362600011228/sable-coco-henry-s-42g,Sable coco Henry s 42g – 42g,3.3626E+12,Henry's,42g,42 g,E,4,"French: Farine de froment , sucre, graisse végétale, noix de coco râpée, poudre de lait , poudre de lactosérum , sucre inverti, agents levants (bicarbonate d'ammonium - bicarbonate de Sodium), sel, arômes.","Gluten, Milk",Soybeans,1.85,443,12.4,7.14,73.8,23.8,2.38,7.62,0.899,https://images.openfoodfacts.org/images/products/336/260/001/1228/front_fr.38.200.jpg,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Shortbread cookies, Shortbread cookie with coconut",,unknown,,,moderate,high,high,moderate,"['E500 - Sodium carbonates', 'E500ii - Sodium hydrogen carbonate', 'E503 - Ammonium carbonates', 'E503ii - Ammonium hydrogen carbonate']",Plastic,,Morocco,,Maroc,,,
https://world.openfoodfacts.org/product/7300400481595/authentique-wasa,AUTHENTIQUE – wasa – 275 g,7.3004E+12,Wasa,275 g,11.4 g (1 tranche),A,3,"wholemeal rye flour (77 g*), rye flour (28 g*), yeast, salt, may contain traces of milk and sesame seeds , *in g per 100 g of product",Gluten,"Lupin, Milk, Mustard, Sesame seeds, Soybeans",1.415,336,1.5,0,62,0,19,9,1,https://images.openfoodfacts.org/images/products/730/040/048/1595/front_fr.234.200.jpg,"Plant-based foods and beverages, Plant-based foods, Snacks, Breakfasts, Cereals and potatoes, Cereals and their products, Breads, Crispbreads",,,,,low,low,low,moderate,[],"Paper , Envelope , Package paper , Paper recycling","Leclerc , Magasins U , carrefour.fr , Intermarché","France , Italy , Réunion , Spain , Switzerland",,"Barilla Sverige AB , 682 82 , Filipstad , Zweden",,,
https://world.openfoodfacts.org/product/3046920022651/excellence-noir-intense-70-cacao-lindt,Excellence Noir Intense 70% Cacao – Lindt – 100 g,3.04692E+12,Lindt,100 g,10 g,E,3,"cocoa paste, sugar, cocoa butter, vanilla",,"Milk, Nuts, Sesame seeds, Soybeans",2.35,566,41,24,35,30,,9.5,0.02,https://images.openfoodfacts.org/images/products/304/692/002/2651/front_en.159.200.jpg,"Fermented foods, Snacks, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, Dark chocolate bar, Dark chocolate bar with more than 70% cocoa",,,,,high,high,high,low,[],"Metal , Cardboard , Recyclable Metals , Aluminium","Magasins U , Carrefour , carrefour.fr , Carrefour Market , E.leclerc , Carrefour City , Intermarché","Algeria , Belgium , Czech Republic , France , Germany , Guadeloupe , Italy , Morocco , Réunion , Spain , Switzerland",,France,,,
https://world.openfoodfacts.org/product/5060042641000/lightly-sea-salted-tyrrell-s,Lightly Sea Salted – Tyrrell's – 150g,5.06004E+12,Tyrrell's,150g,1 serving (100 g),C,3,"Potatoes, sunflower oil, sea salt. May contain Milk .",,Milk,1.992,476,27,2.4,49,0.64,5.5,6.2,0.83,https://images.openfoodfacts.org/images/products/506/004/264/1000/front_en.179.200.jpg,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Chips and fries, Crisps, Potato crisps, Potato crisps in sunflower oil, fr:Chips de pommes de terre classiques",,,,,high,moderate,low,moderate,[],"MixedPlasticFilm-packet , Mixed plastic film-packet","Carrefour , Magasins U , Sainsbury's , carrefour.fr , Plus , Albert Heijn , Asda , El Corte Inglés","France , Germany , Spain , United Kingdom",United Kingdom,United Kingdom,,,
